file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Entities.java,1,0,0,1,2,2,1,0,0,1,3,3,0,1,365,0.0,0.0,0.0,2.0,0.0,3.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0.0,0.0,,,,
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\HTMLParserTokenManager.java,1,11,11,1,8,8,1,47,47,1,1,1,0,1,1426,0.0,0.0,11.0,8.0,47.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParseException.java,1,5,5,1,0,0,1,2,2,1,0,0,0,1,192,0.0,0.0,5.0,0.0,2.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\ParserThread.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,95,0.0,0.0,1.0,0.0,1.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\SimpleCharStream.java,1,14,14,1,1,1,1,22,22,1,0,0,0,1,401,0.0,0.0,14.0,1.0,22.0,0.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\Token.java,1,8,8,1,0,0,1,1,1,1,1,1,0,1,81,0.0,0.0,8.0,0.0,1.0,1.0
eclipse\org.apache.lucene\src\org\apache\lucene\demo\html\TokenMgrError.java,1,1,1,1,4,4,1,1,1,1,2,2,0,1,133,0.0,0.0,1.0,4.0,1.0,2.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePlugin.java,1,1,1,1,14,14,1,5,5,1,2,2,0,1,207,0.0,4.0,1.0,14.0,5.0,2.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntCorePreferences.java,1,14,14,1,0,0,1,55,55,1,0,0,0,1,960,0.0,7.0,14.0,0.0,55.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntRunner.java,1,11,11,1,1,1,1,21,21,1,1,1,0,1,533,0.0,8.0,11.0,1.0,21.0,1.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\AntSecurityException.java,1,0,0,1,0,0,1,0,0,1,0,0,0,1,22,0.0,0.0,0.0,0.0,0.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\ProjectInfo.java,1,2,2,1,0,0,1,2,2,1,0,0,0,1,55,0.0,0.0,2.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Property.java,1,2,2,1,0,0,1,7,7,1,0,0,0,1,89,0.0,8.0,2.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\TargetInfo.java,1,5,5,1,0,0,1,8,8,1,0,0,0,1,115,0.0,0.0,5.0,0.0,8.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Task.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,37,0.0,0.0,0.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\core\Type.java,1,0,0,1,0,0,1,2,2,1,0,0,0,1,37,0.0,0.0,0.0,0.0,2.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntClassLoader.java,1,1,1,1,3,3,1,4,4,1,0,0,0,1,100,0.0,0.0,1.0,3.0,4.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\AntObject.java,1,4,4,1,0,0,1,7,7,1,0,0,0,1,77,0.0,16.0,4.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\IAntCoreConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0.0,0.0,,,,
eclipse\org.eclipse.ant.core\src\org\eclipse\ant\internal\core\InternalCoreAntMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\AntSecurityManager.java,1,1,1,1,0,0,1,41,41,1,0,0,0,1,404,0.0,0.0,1.0,0.0,41.0,0.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InputHandlerSetter.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,44,0.0,0.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\InternalAntMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.core\src_ant\org\eclipse\ant\internal\core\ant\ProgressBuildListener.java,2,8,12,2,0,0,2,20,28,2,0,0,0,2,295,0.0,0.0,6.0,0.0,14.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\BufferedContent.java,1,2,2,1,0,0,1,8,8,1,0,0,0,1,128,0.0,0.0,2.0,0.0,8.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\CompareConfiguration.java,1,12,12,1,7,7,1,25,25,1,0,0,0,1,445,0.0,0.0,12.0,7.0,25.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\CompareUI.java,1,0,0,1,8,8,1,0,0,1,14,14,0,1,281,0.0,0.0,0.0,8.0,0.0,14.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\CompareViewerPane.java,1,1,1,1,0,0,1,5,5,1,2,2,0,1,144,0.0,0.0,1.0,0.0,5.0,2.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\CompareViewerSwitchingPane.java,1,9,9,1,0,0,1,22,22,1,0,0,0,1,371,0.0,0.0,9.0,0.0,22.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\ContentMergeViewer.java,4,37,47,4,5,5,4,56,65,4,0,0,0,4,978,0.0,0.0,11.75,1.25,16.25,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\DelayedProgressMonitor.java,1,9,9,1,0,0,1,9,9,1,1,1,0,1,146,0.0,0.0,9.0,0.0,9.0,1.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\IDocumentRange.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\IMergeViewerContentProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\ITokenComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\contentmergeviewer\TextMergeViewer.java,5,87,99,5,14,15,5,151,174,5,8,8,0,5,4143,0.0,0.0,19.8,3.0,34.8,1.6
eclipse\org.eclipse.compare\compare\org\eclipse\compare\EditionSelectionDialog.java,2,31,36,2,0,0,2,39,43,2,1,1,0,2,1126,0.0,0.0,18.0,0.0,21.5,0.5
eclipse\org.eclipse.compare\compare\org\eclipse\compare\HistoryItem.java,1,2,2,1,0,0,1,5,5,1,0,0,0,1,83,0.0,0.0,2.0,0.0,5.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\IContentChangeListener.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\IContentChangeNotifier.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\IEditableContent.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\IModificationDate.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0.0,0.0,,,,
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\AbstractViewer.java,1,0,0,1,0,0,1,5,5,1,0,0,0,1,35,0.0,0.0,0.0,0.0,5.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\AddFromHistoryAction.java,1,1,1,1,1,1,1,5,5,1,0,0,0,1,143,0.0,0.0,1.0,1.0,5.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\AddFromHistoryDialog.java,3,16,21,3,0,0,3,24,35,3,2,2,0,3,461,0.0,0.0,7.0,0.0,11.666666666666666,0.6666666666666666
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\BinaryCompareViewer.java,1,4,4,1,2,2,1,4,4,1,0,0,0,1,128,0.0,0.0,4.0,2.0,4.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\BinaryCompareViewerCreator.java,1,0,0,1,0,0,1,1,1,1,0,0,0,1,29,0.0,0.0,0.0,0.0,1.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\BufferedCanvas.java,1,1,1,1,1,1,1,5,5,1,0,0,0,1,98,0.0,0.0,1.0,1.0,5.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\BufferedResourceNode.java,1,2,2,1,0,0,1,4,4,1,0,0,0,1,117,0.0,0.0,2.0,0.0,4.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\ChangePropertyAction.java,1,4,4,1,0,0,1,3,3,1,0,0,0,1,53,0.0,0.0,4.0,0.0,3.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\ColorEditor.java,1,5,5,1,0,0,1,7,7,1,0,0,0,1,122,0.0,0.0,5.0,0.0,7.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareAction.java,1,2,2,1,0,0,1,3,3,1,0,0,0,1,54,0.0,0.0,2.0,0.0,3.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareDialog.java,1,2,2,1,0,0,1,6,6,1,0,0,0,1,122,0.0,0.0,2.0,0.0,6.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareEditor.java,1,1,1,1,1,1,1,14,14,1,0,0,0,1,177,0.0,0.0,1.0,1.0,14.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareEditorContributor.java,1,6,6,1,0,0,1,3,3,1,0,0,0,1,104,0.0,0.0,6.0,0.0,3.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,32,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareNavigator.java,1,3,3,1,0,0,1,5,5,1,4,4,0,1,179,0.0,0.0,3.0,0.0,5.0,4.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\ComparePreferencePage.java,2,8,9,2,9,9,2,18,22,2,3,3,0,2,356,0.0,0.0,4.5,4.5,11.0,1.5
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareUIPlugin.java,1,0,0,1,28,28,1,8,8,1,30,30,0,1,879,0.0,0.0,0.0,28.0,8.0,30.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\CompareWithEditionAction.java,1,0,0,1,0,0,1,0,0,1,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\DiffImage.java,1,4,4,1,1,1,1,2,2,1,0,0,0,1,78,0.0,0.0,4.0,1.0,2.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\DocLineComparator.java,1,5,5,1,0,0,1,7,7,1,0,0,0,1,191,0.0,0.0,5.0,0.0,7.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\DocumentManager.java,1,0,0,1,3,3,1,0,0,1,4,4,0,1,65,0.0,0.0,0.0,3.0,0.0,4.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\EditionAction.java,2,7,9,2,0,0,2,12,16,2,0,0,0,2,267,0.0,0.0,4.5,0.0,8.0,0.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\ExceptionHandler.java,1,0,0,1,1,1,1,3,3,1,5,5,0,1,133,0.0,0.0,0.0,1.0,3.0,5.0
eclipse\org.eclipse.compare\compare\org\eclipse\compare\internal\ICompareContextIds.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,0.0,0.0,,,,
