plugin,package,NOCU,NOT_total,NOT_max,NOT_avg,NOI_total,NOI_max,NOI_avg,TLOC_total,TLOC_max,TLOC_avg,ACD_total,ACD_max,ACD_avg,NSM_total,NSM_max,NSM_avg,NSF_total,NSF_max,NSF_avg,NOM_total,NOM_max,NOM_avg,NOF_total,NOF_max,NOF_avg,MLOC_total,NBD_total,PAR_total,VG_total,FOUT_total,pre,post,MLOC_max,NBD_max,PAR_max,VG_max,FOUT_max,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
org.eclipse.jdt.core,org.eclipse.jdt.core,64,20,1,0.3125,44,1,0.6875,5949,1405,92.953125,7,5,0.109375,217,70,3.390625,333,165,5.203125,736,74,11.5,442,165,6.90625,4225,-168,1150,1564,815,85.0,7.0,168,7,13,39,30,5.740489130434782,-0.22826086956521738,1.5625,2.125,1.107336956521739
org.eclipse.jdt.core,org.eclipse.jdt.core.compiler,9,6,1,0.6666666666666666,3,1,0.3333333333333333,1984,1142,220.44444444444446,0,0,0.0,63,63,7.0,22,16,2.4444444444444446,117,63,13.0,656,518,72.88888888888889,947,26,201,438,72,42.0,0.0,86,4,7,37,10,8.094017094017094,0.2222222222222222,1.7179487179487178,3.7435897435897436,0.6153846153846154
org.eclipse.jdt.core,org.eclipse.jdt.core.dom,133,124,1,0.9323308270676691,9,1,0.06766917293233082,27428,4702,206.22556390977442,4,2,0.03007518796992481,138,12,1.037593984962406,477,94,3.5864661654135337,2787,170,20.954887218045112,807,102,6.067669172932331,24003,1619,2491,6992,6616,673.0,66.0,285,9,9,103,48,8.61248654467169,0.5809113742375314,0.8937926085396484,2.5087908144958737,2.3738787226408324
org.eclipse.jdt.core,org.eclipse.jdt.core.dom.rewrite,5,4,1,0.8,1,1,0.2,1012,559,202.4,1,1,0.2,8,7,1.6,2,2,0.4,94,42,18.8,22,15,4.4,903,73,136,274,326,1.0,0.0,55,4,6,16,29,9.606382978723405,0.776595744680851,1.446808510638298,2.9148936170212765,3.4680851063829787
org.eclipse.jdt.core,org.eclipse.jdt.core.eval,3,0,0,0.0,3,1,1.0,97,74,32.333333333333336,0,0,0.0,0,0,0.0,10,10,3.3333333333333335,24,19,8.0,10,10,3.3333333333333335,24,-24,52,24,0,0.0,0.0,1,-1,9,1,0,1.0,-1.0,2.1666666666666665,1.0,0.0
org.eclipse.jdt.core,org.eclipse.jdt.core.formatter,4,4,1,1.0,0,0,0.0,932,444,233.0,0,0,0.0,22,12,5.5,271,263,67.75,32,13,8.0,280,263,70.0,593,39,61,170,112,21.0,0.0,76,3,6,19,16,18.53125,1.21875,1.90625,5.3125,3.5
org.eclipse.jdt.core,org.eclipse.jdt.core.jdom,12,2,1,0.16666666666666666,10,1,0.8333333333333334,226,83,18.833333333333332,0,0,0.0,0,0,0.0,8,7,0.6666666666666666,115,19,9.583333333333334,9,7,0.75,178,-87,60,123,26,0.0,0.0,6,1,2,2,2,1.5478260869565217,-0.7565217391304347,0.5217391304347826,1.0695652173913044,0.22608695652173913
org.eclipse.jdt.core,org.eclipse.jdt.core.search,24,19,1,0.7916666666666666,5,1,0.20833333333333334,1842,1170,76.75,0,0,0.0,25,14,1.0416666666666667,12,10,0.5,137,29,5.708333333333333,69,28,2.875,1401,12,291,471,165,8.0,29.0,330,5,10,109,30,10.226277372262773,0.08759124087591241,2.124087591240876,3.437956204379562,1.2043795620437956
org.eclipse.jdt.core,org.eclipse.jdt.core.util,44,5,1,0.11363636363636363,39,1,0.8863636363636364,1576,445,35.81818181818182,0,0,0.0,3,3,0.06818181818181818,25,9,0.5681818181818182,597,205,13.568181818181818,311,204,7.068181818181818,824,-385,601,601,3,0.0,0.0,9,1,6,3,2,1.3802345058626466,-0.644891122278057,1.0067001675041876,1.0067001675041876,0.005025125628140704
org.eclipse.jdt.core,org.eclipse.jdt.internal.antadapter,1,1,1,1.0,0,0,0.0,35,35,35.0,0,0,0.0,2,2,2.0,2,2,2.0,3,3,3.0,2,2,2.0,20,2,3,5,3,0.0,0.0,10,1,2,2,2,6.666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.0
org.eclipse.jdt.core,org.eclipse.jdt.internal.codeassist,9,5,1,0.5555555555555556,4,1,0.4444444444444444,7436,5758,826.2222222222222,4,3,0.4444444444444444,3,3,0.3333333333333333,41,28,4.555555555555555,159,102,17.666666666666668,144,64,16.0,5793,322,475,1964,1579,18.0,21.0,510,11,15,160,82,36.43396226415094,2.0251572327044025,2.9874213836477987,12.352201257861635,9.930817610062894
org.eclipse.jdt.core,org.eclipse.jdt.internal.codeassist.complete,46,44,1,0.9565217391304348,2,1,0.043478260869565216,6683,3219,145.2826086956522,0,0,0.0,0,0,0.0,91,64,1.9782608695652173,480,163,10.434782608695652,176,75,3.8260869565217392,6054,307,566,1916,873,29.0,39.0,583,9,6,238,23,12.6125,0.6395833333333333,1.1791666666666667,3.9916666666666667,1.81875
org.eclipse.jdt.core,org.eclipse.jdt.internal.codeassist.impl,4,3,1,0.75,1,1,0.25,1784,1273,446.0,0,0,0.0,2,2,0.5,28,16,7.0,109,93,27.25,108,42,27.0,1522,76,83,427,266,21.0,0.0,139,6,5,43,10,13.963302752293577,0.6972477064220184,0.7614678899082569,3.9174311926605503,2.4403669724770642
org.eclipse.jdt.core,org.eclipse.jdt.internal.codeassist.select,23,23,1,1.0,0,0,0.0,1820,977,79.1304347826087,2,2,0.08695652173913043,0,0,0.0,6,5,0.2608695652173913,127,48,5.521739130434782,16,7,0.6956521739130435,1521,115,177,394,314,0.0,14.0,51,5,6,14,12,11.976377952755906,0.905511811023622,1.3937007874015748,3.1023622047244093,2.47244094488189
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler,17,11,1,0.6470588235294118,6,1,0.35294117647058826,9454,4946,556.1176470588235,7,4,0.4117647058823529,11,5,0.6470588235294118,9,3,0.5294117647058824,529,203,31.11764705882353,92,24,5.411764705882353,8235,266,887,2091,1080,22.0,38.0,597,7,24,132,25,15.567107750472589,0.502835538752363,1.6767485822306238,3.952741020793951,2.041587901701323
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.ast,109,108,1,0.9908256880733946,1,1,0.009174311926605505,20468,1509,187.77981651376146,2,1,0.01834862385321101,42,20,0.3853211009174312,187,105,1.7155963302752293,1063,41,9.752293577981652,550,107,5.045871559633028,17731,1088,1815,6119,4177,280.0,369.0,372,10,9,140,56,16.680150517403575,1.0235183443085607,1.7074317968015051,5.756349952963311,3.929444967074318
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.batch,8,8,1,1.0,0,0,0.0,3217,2686,402.125,3,3,0.375,12,9,1.5,5,2,0.625,68,27,8.5,60,36,7.5,1922,79,93,635,278,69.0,29.0,1048,7,5,379,56,28.264705882352942,1.161764705882353,1.3676470588235294,9.338235294117647,4.088235294117647
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.classfmt,14,13,1,0.9285714285714286,1,1,0.07142857142857142,2346,698,167.57142857142858,0,0,0.0,16,8,1.1428571428571428,33,30,2.357142857142857,162,43,11.571428571428571,172,72,12.285714285714286,1956,128,132,691,380,63.0,0.0,191,7,5,54,21,12.074074074074074,0.7901234567901234,0.8148148148148148,4.265432098765432,2.345679012345679
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.codegen,20,18,1,0.9,2,1,0.1,10146,5885,507.3,0,0,0.0,3,3,0.15,433,203,21.65,734,323,36.7,550,216,27.5,8970,577,434,2636,1852,9.0,82.0,143,7,6,44,32,12.220708446866485,0.7861035422343324,0.5912806539509536,3.5912806539509536,2.5231607629427795
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.env,22,6,1,0.2727272727272727,16,1,0.7272727272727273,377,77,17.136363636363637,0,0,0.0,0,0,0.0,2,1,0.09090909090909091,120,15,5.454545454545454,20,4,0.9090909090909091,267,-78,29,149,27,63.0,0.0,19,2,3,10,6,2.225,-0.65,0.24166666666666667,1.2416666666666667,0.225
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.flow,12,12,1,1.0,0,0,0.0,3248,1374,270.6666666666667,0,0,0.0,4,3,0.3333333333333333,14,7,1.1666666666666667,197,40,16.416666666666668,63,14,5.25,2556,160,199,899,264,0.0,107.0,151,7,6,51,15,12.974619289340101,0.8121827411167513,1.0101522842639594,4.563451776649746,1.3401015228426396
org.eclipse.jdt.core,org.eclipse.jdt.internal.compiler.impl,13,11,1,0.8461538461538461,2,1,0.15384615384615385,2693,1364,207.15384615384616,0,0,0.0,34,20,2.6153846153846154,170,151,13.076923076923077,151,34,11.615384615384615,214,186,16.46153846153846,3113,7,123,1331,270,9.0,0.0,321,4,5,146,19,20.6158940397351,0.046357615894039736,0.8145695364238411,8.814569536423841,1.7880794701986755
